domain,problem,planner,PlanCost,Runtime_internal_s,Runtime_wall_s,Status
barman-sequential-agile,instance-1.pddl,bfs_f,200,0.05182,80.590261,SUCCESS
barman-sequential-agile,instance-10.pddl,bfs_f,188,0.034005,95.37844,SUCCESS
barman-sequential-agile,instance-11.pddl,bfs_f,,,,TIMEOUT
barman-sequential-agile,instance-12.pddl,bfs_f,209,0.030677,21.977525,SUCCESS
barman-sequential-agile,instance-13.pddl,bfs_f,224,0.044539,107.387822,SUCCESS
barman-sequential-agile,instance-14.pddl,bfs_f,196,0.038948,73.533499,SUCCESS
barman-sequential-agile,instance-15.pddl,bfs_f,204,0.029665,66.306279,SUCCESS
barman-sequential-agile,instance-16.pddl,bfs_f,175,0.038154,72.500719,SUCCESS
barman-sequential-agile,instance-17.pddl,bfs_f,154,0.03093,42.88116,SUCCESS
barman-sequential-agile,instance-18.pddl,bfs_f,205,0.037169,61.380698,SUCCESS
barman-sequential-agile,instance-19.pddl,bfs_f,189,0.025344,130.805224,SUCCESS
barman-sequential-agile,instance-2.pddl,bfs_f,206,0.071382,235.070159,SUCCESS
barman-sequential-agile,instance-20.pddl,bfs_f,200,0.037367,76.071583,SUCCESS
barman-sequential-agile,instance-3.pddl,bfs_f,206,0.078451,62.626664,SUCCESS
barman-sequential-agile,instance-4.pddl,bfs_f,163,0.02023,22.336123,SUCCESS
barman-sequential-agile,instance-5.pddl,bfs_f,215,0.015813,40.459693,SUCCESS
barman-sequential-agile,instance-6.pddl,bfs_f,153,0.069269,1.09833,SUCCESS
barman-sequential-agile,instance-7.pddl,bfs_f,203,0.050494,58.902746,SUCCESS
barman-sequential-agile,instance-8.pddl,bfs_f,228,0.03461,94.384267,SUCCESS
barman-sequential-agile,instance-9.pddl,bfs_f,171,0.021673,47.928044,SUCCESS
blocks-strips-typed,instance-1.pddl,bfs_f,6,0.000189,0.007921,SUCCESS
blocks-strips-typed,instance-10.pddl,bfs_f,20,0.00067,0.013606,SUCCESS
blocks-strips-typed,instance-11.pddl,bfs_f,24,0.001514,0.012963,SUCCESS
blocks-strips-typed,instance-12.pddl,bfs_f,22,0.002501,0.011866,SUCCESS
blocks-strips-typed,instance-13.pddl,bfs_f,18,0.001597,0.011548,SUCCESS
blocks-strips-typed,instance-14.pddl,bfs_f,24,0.006238,0.015816,SUCCESS
